Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked,Title
0,1,male,47.0,0,0,52.0,C,S,Mr.
0,3,female,14.5,1,0,14.4542,F,C,Miss.
0,3,male,22.0,0,0,8.05,F,S,Mr.
0,3,female,20.0,1,0,9.825,F,S,Miss.
0,3,female,17.0,0,0,14.4583,F,C,Miss.
0,3,male,21.0,0,0,7.925,F,S,Mr.
0,3,male,70.5,0,0,7.75,F,Q,Mr.
0,2,male,29.0,1,0,21.0,E,S,Mr.
0,1,male,24.0,0,1,247.5208,B,C,Mr.
0,3,female,2.0,4,2,31.275,F,S,Miss.
0,2,male,21.0,2,0,73.5,E,S,Mr.
0,3,male,30.0,0,0,8.05,F,S,Mr.
0,2,male,32.5,1,0,30.0708,E,C,Mr.
1,2,female,32.5,0,0,13.0,E,S,Miss.
0,1,male,54.0,0,1,77.2875,D,S,Mr.
1,3,male,12.0,1,0,11.2417,F,C,Master.
0,3,male,37.0,0,0,7.75,F,Q,Mr.
1,3,male,24.0,0,0,7.1417,F,S,Mr.
1,3,female,14.0,1,1,22.3583,F,C,Miss.
0,3,male,45.0,0,0,6.975,F,S,Mr.
0,3,male,33.0,0,0,7.8958,F,C,Mr.
0,3,male,20.0,0,0,7.05,F,S,Mr.
0,3,female,47.0,1,0,14.5,F,S,Mrs.
1,2,female,29.0,1,0,26.0,E,S,Mrs.
0,2,male,25.0,0,0,13.0,E,S,Mr.
0,2,male,23.0,0,0,15.0458,E,C,Mr.
1,1,female,19.0,0,2,26.2833,D,S,Miss.
0,1,male,37.0,1,0,53.1,C,S,Mr.
0,3,male,16.0,0,0,9.2167,F,S,Mr.
0,1,male,24.0,0,0,79.2,B,C,Mr.
0,3,female,30.0,0,2,15.2458,F,C,Mrs.
1,3,female,22.0,0,0,7.75,F,S,Miss.
1,3,female,24.0,1,0,15.85,F,S,Mrs.
0,3,male,19.0,0,0,6.75,F,Q,Mr.
0,2,male,18.0,0,0,11.5,E,S,Mr.
0,2,male,19.0,1,1,36.75,E,S,Mr.
1,3,male,27.0,0,0,7.7958,F,S,Mr.
0,3,female,9.0,2,2,34.375,F,S,Miss.
0,2,male,36.5,0,2,26.0,F,S,Mr.
0,2,male,42.0,0,0,13.0,E,S,etc
0,2,male,51.0,0,0,12.525,E,S,etc
1,1,female,22.0,1,0,66.6,C,S,Mrs.
0,3,male,55.5,0,0,8.05,F,S,Mr.
0,3,male,40.5,0,2,14.5,F,S,Mr.
0,3,male,30.0,0,0,7.3125,F,S,Mr.
0,1,male,51.0,0,1,61.3792,C,C,Mr.
1,3,female,16.0,0,0,7.7333,F,Q,Miss.
0,3,male,30.0,0,0,8.05,F,S,Mr.
0,3,male,30.0,0,0,8.6625,F,S,Mr.
0,3,male,-11.0,8,2,69.55,F,S,Master.
0,3,male,44.0,0,1,16.1,F,S,Mr.
1,2,female,40.0,0,0,15.75,E,S,Mrs.
0,3,male,26.0,0,0,7.775,F,S,Mr.
0,3,male,17.0,0,0,8.6625,F,S,Mr.
0,3,male,1.0,4,1,39.6875,F,S,Master.
1,3,male,9.0,0,2,20.525,F,S,Master.
1,1,female,48.0,0,1,55.0,E,S,Mrs.
0,3,female,45.0,1,4,27.9,F,S,Mrs.
0,1,male,42.0,0,0,25.925,C,S,Mr.
0,3,male,28.0,0,0,56.4958,F,S,Mr.
0,1,male,61.0,0,0,33.5,B,S,Mr.
0,3,male,4.0,4,1,29.125,F,Q,Master.
1,3,female,1.0,1,1,11.1333,F,S,Miss.
0,3,male,21.0,0,0,7.925,F,S,Mr.
0,1,male,56.0,0,0,30.6958,A,C,Mr.
0,3,male,18.0,1,1,7.8542,F,S,Mr.
0,3,male,0.0,3,1,25.4667,F,S,Master.
0,1,female,50.0,0,0,28.7125,C,C,Miss.
0,2,male,30.0,0,0,13.0,E,S,Mr.
0,3,male,36.0,0,0,0.0,F,S,Mr.
0,3,female,1.0,8,2,69.55,F,S,Miss.
0,2,male,31.0,0,0,15.05,E,C,Mr.
0,3,male,9.0,4,2,31.3875,F,S,Master.
1,2,male,1.0,2,1,39.0,F,S,Master.
1,3,female,4.0,0,2,22.025,F,S,Miss.
0,1,male,47.0,0,0,50.0,A,S,Mr.
1,3,female,38.0,1,0,15.5,F,Q,Mrs.
1,1,male,45.0,0,0,26.55,C,S,Mr.
0,3,male,40.0,1,1,15.5,F,Q,Mr.
0,3,male,36.0,0,0,7.8958,F,S,Mr.
1,2,female,32.0,0,0,13.0,E,S,Mrs.
0,2,male,19.0,0,0,13.0,E,S,Mr.
1,3,female,19.0,1,0,7.8542,F,S,Miss.
1,2,male,3.0,1,1,26.0,F,S,Master.
1,1,female,44.0,0,0,27.7208,B,C,Mrs.
1,1,female,58.0,0,0,146.5208,B,C,Miss.
0,3,male,37.0,0,0,7.75,F,Q,Mr.
0,3,male,42.0,0,1,8.4042,F,S,Mr.
1,3,female,26.0,0,0,7.75,F,Q,Miss.
0,2,female,24.0,0,0,13.0,E,S,Miss.
0,3,male,28.0,0,0,9.5,F,S,Mr.
0,3,male,12.0,8,2,69.55,F,S,Mr.
0,3,male,34.0,0,0,6.4958,F,S,Mr.
0,3,male,45.5,0,0,7.225,F,C,Mr.
1,3,male,18.0,0,0,8.05,F,S,Mr.
0,3,female,2.0,0,1,10.4625,F,S,Miss.
0,3,male,32.0,1,0,15.85,F,S,Mr.
1,3,male,26.0,0,0,18.7875,F,C,Mr.
1,3,female,16.0,0,0,7.75,F,Q,Miss.
1,1,male,40.0,0,0,31.0,A,C,Mr.
0,3,male,24.0,0,0,7.05,F,S,Mr.
1,2,female,35.0,0,0,21.0,E,S,Miss.
0,3,male,22.0,0,0,7.25,F,S,Mr.
0,2,male,30.0,0,0,13.0,E,S,Mr.
0,3,male,35.0,1,0,7.75,F,Q,Mr.
1,1,female,31.0,1,0,113.275,D,C,Miss.
1,3,female,27.0,0,0,7.925,F,S,Miss.
0,2,male,42.0,1,0,27.0,E,S,Mr.
1,1,female,32.0,0,0,76.2917,D,C,Miss.
0,2,male,30.0,0,0,10.5,E,S,Mr.
1,3,male,16.0,0,0,8.05,F,S,Mr.
0,2,male,27.0,0,0,13.0,E,S,Mr.
0,3,male,51.0,0,0,8.05,F,S,Mr.
0,3,male,30.0,0,0,7.8958,F,S,Mr.
1,1,male,38.0,1,0,90.0,C,S,Mr.
0,3,male,22.0,0,0,9.35,F,S,Mr.
1,2,male,19.0,0,0,10.5,E,S,Mr.
0,3,male,20.5,0,0,7.25,F,S,Mr.
0,2,male,18.0,0,0,13.0,E,S,Mr.
0,3,female,12.0,3,1,25.4667,F,S,Miss.
1,1,female,35.0,1,0,83.475,C,S,Mrs.
0,3,male,29.0,0,0,7.775,F,S,Mr.
0,2,male,59.0,0,0,13.5,E,S,Mr.
1,3,female,5.0,4,2,31.3875,F,S,Miss.
0,2,male,24.0,0,0,10.5,E,S,Mr.
0,3,female,19.0,0,0,7.55,F,S,Miss.
0,2,male,44.0,1,0,26.0,E,S,Mr.
1,2,female,8.0,0,2,26.25,E,S,Miss.
0,2,male,19.0,0,0,10.5,E,S,Mr.
0,2,male,33.0,0,0,12.275,E,S,Mr.
0,3,female,14.0,1,0,14.4542,F,C,Miss.
1,3,female,23.0,1,0,15.5,F,Q,Miss.
0,2,male,29.0,0,0,10.5,E,S,Mr.
0,3,male,22.0,0,0,7.125,F,S,Mr.
0,3,male,30.0,0,0,7.225,F,C,Mr.
0,1,male,44.0,2,0,90.0,C,Q,etc
0,3,female,25.0,0,0,7.775,F,S,Miss.
1,2,female,24.0,0,2,14.5,E,S,Mrs.
1,1,male,37.0,1,1,52.5542,D,S,Mr.
0,2,male,54.0,1,0,26.0,E,S,etc
0,3,male,30.0,0,0,7.25,F,S,Mr.
0,3,female,29.0,1,1,10.4625,F,S,Mrs.
0,1,male,62.0,0,0,26.55,C,S,Mr.
0,3,male,30.0,1,0,16.1,F,S,Mr.
0,3,female,41.0,0,2,20.2125,F,S,Mrs.
1,3,female,29.0,0,2,15.2458,F,C,Mrs.
1,1,female,42.0,0,0,79.2,C,C,Mrs.
1,1,female,30.0,0,0,86.5,B,S,Miss.
1,1,female,35.0,0,0,512.3292,C,C,Miss.
1,2,female,50.0,0,1,26.0,E,S,Mrs.
0,3,male,37.0,0,0,7.75,F,Q,Mr.
1,3,male,3.0,4,2,31.3875,F,S,Master.
0,1,male,52.0,1,1,79.65,E,S,Mr.
0,1,male,40.0,0,0,0.0,B,S,Mr.
0,3,female,26.0,0,0,7.75,F,Q,Miss.
0,2,male,36.0,0,0,10.5,E,S,Mr.
0,3,male,16.0,4,1,39.6875,F,S,Mr.
1,3,male,25.0,1,0,7.775,F,S,Mr.
1,1,female,58.0,0,1,153.4625,C,S,Mrs.
1,1,female,35.0,0,0,135.6333,C,S,Miss.
0,1,male,42.0,0,0,31.0,C,S,Mr.
1,3,male,25.0,0,0,0.0,F,S,Mr.
1,2,female,41.0,0,1,19.5,E,S,Mrs.
0,1,male,37.0,0,1,29.7,C,C,Mr.
1,3,female,26.0,0,0,7.75,F,Q,Miss.
1,1,female,63.0,1,0,77.9583,D,S,Miss.
0,3,female,45.0,0,0,7.75,F,S,Miss.
0,2,male,34.0,0,0,0.0,E,S,Mr.
0,3,male,7.0,4,1,29.125,F,Q,Master.
1,3,female,35.0,1,1,20.25,F,S,Mrs.
0,3,male,65.0,0,0,7.75,F,Q,Mr.
0,3,male,28.0,0,0,7.8542,F,S,Mr.
0,3,male,16.0,0,0,9.5,F,S,Mr.
1,3,male,19.0,0,0,8.05,F,S,Mr.
0,1,male,48.0,0,0,26.0,A,S,Mr.
0,3,male,33.0,0,0,8.6625,F,C,Mr.
1,3,male,30.0,0,0,9.5,F,S,Mr.
0,3,male,22.0,0,0,7.8958,F,S,Mr.
1,2,male,42.0,0,0,13.0,E,S,Mr.
1,3,female,22.0,0,0,7.75,F,Q,Miss.
1,1,female,26.0,0,0,78.85,C,S,Miss.
1,1,female,19.0,1,0,91.0792,B,C,Mrs.
0,2,male,36.0,0,0,12.875,D,C,Mr.
0,3,female,24.0,0,0,8.85,F,S,Miss.
0,3,male,24.0,0,0,7.8958,F,S,Mr.
0,1,male,39.0,0,0,27.7208,C,C,Mr.
0,3,male,23.5,0,0,7.2292,F,C,Mr.
0,1,female,2.0,1,2,151.55,C,S,Miss.
1,1,male,42.0,0,0,30.5,C,S,Mr.
1,1,female,50.0,0,1,247.5208,B,C,Mrs.
1,3,female,26.0,0,0,7.75,F,Q,Miss.
1,3,male,32.0,2,0,23.25,F,Q,Mr.
0,3,male,19.0,0,0,0.0,F,S,Mr.
1,2,female,30.0,0,0,12.35,E,Q,Miss.
0,3,male,30.0,0,0,8.05,F,S,Mr.
1,1,male,0.92,1,2,151.55,C,S,Master.
1,1,female,27.0,0,0,110.8833,C,C,Miss.
1,1,female,17.0,1,0,108.9,C,C,Mrs.
0,2,male,30.0,1,0,24.0,E,C,Mr.
1,1,female,30.0,0,0,56.9292,E,C,Miss.
1,1,female,24.0,0,0,83.1583,C,C,Miss.
1,1,female,18.0,2,2,262.375,B,C,Miss.
0,2,female,26.0,1,1,26.0,E,S,Mrs.
0,3,male,28.0,0,0,7.8958,F,S,Mr.
0,2,male,43.0,1,1,26.25,E,S,Mr.
1,3,female,26.0,0,0,7.8542,F,S,Miss.
1,2,female,24.0,1,0,26.0,E,S,Mrs.
0,2,male,54.0,0,0,14.0,E,S,etc
1,1,female,31.0,0,2,164.8667,C,S,Miss.
1,1,female,40.0,1,1,134.5,E,C,Mrs.
0,3,male,22.0,0,0,7.25,F,S,Mr.
0,3,male,27.0,0,0,7.8958,F,S,Mr.
1,2,female,30.0,0,0,12.35,E,Q,Miss.
1,2,female,22.0,1,1,29.0,E,S,Mrs.
0,3,male,12.0,8,2,69.55,F,S,Mr.
1,1,female,36.0,0,0,135.6333,C,C,Miss.
0,3,male,61.0,0,0,6.2375,F,S,Mr.
1,2,female,36.0,0,0,13.0,D,S,Mrs.
1,3,female,31.0,1,1,20.525,F,S,Mrs.
1,1,female,16.0,0,1,57.9792,B,C,Miss.
1,3,female,21.0,2,0,23.25,F,Q,Miss.
0,1,male,45.5,0,0,28.5,C,S,Mr.
0,1,male,38.0,0,1,153.4625,C,S,Mr.
0,3,male,16.0,2,0,18.0,F,S,Mr.
1,1,female,42.0,1,0,133.65,C,S,Mrs.
0,3,male,30.0,0,0,7.8958,F,S,Mr.
0,1,male,29.0,1,0,66.6,C,S,Mr.
1,1,female,41.0,0,0,134.5,E,C,Miss.
1,3,male,45.0,0,0,8.05,F,S,Mr.
0,1,male,45.0,0,0,35.5,C,S,Mr.
1,2,male,2.0,1,1,26.0,F,S,Master.
1,1,female,24.0,3,2,263.0,C,S,Miss.
0,2,male,28.0,0,0,13.0,E,S,Mr.
0,2,male,25.0,0,0,13.0,E,S,Mr.
0,2,male,36.0,0,0,13.0,E,S,Mr.
1,2,female,24.0,0,0,13.0,F,S,Miss.
1,2,female,40.0,0,0,13.0,E,S,Miss.
1,3,female,31.0,1,0,16.1,F,S,Mrs.
1,3,male,3.0,1,1,15.9,F,S,Master.
0,3,male,42.0,0,0,8.6625,F,S,Mr.
0,3,male,23.0,0,0,9.225,F,S,Mr.
0,1,male,42.0,0,0,35.0,C,S,Mr.
0,3,male,15.0,1,1,7.2292,F,C,Mr.
0,3,male,25.0,1,0,17.8,F,S,Mr.
0,3,male,27.0,0,0,7.225,F,C,Mr.
0,3,male,28.0,0,0,9.5,F,S,Mr.
1,1,female,22.0,0,1,55.0,E,S,Miss.
0,2,female,38.0,0,0,13.0,E,S,Miss.
1,3,female,26.0,0,0,7.8792,F,Q,Miss.
1,3,female,26.0,0,0,7.8792,F,Q,Miss.
0,3,male,40.0,1,4,27.9,F,S,Mr.
0,2,male,29.0,1,0,27.7208,E,C,Mr.
0,3,female,45.0,0,1,14.4542,F,C,Mrs.
0,3,male,35.0,0,0,7.05,F,S,Mr.
0,3,male,35.0,1,0,15.5,F,Q,Mr.
0,3,male,30.0,0,0,7.25,F,S,Mr.
1,1,female,60.0,1,0,75.25,D,C,Mrs.
1,3,female,30.0,0,0,7.2292,F,C,Mrs.
1,3,female,26.0,0,0,7.75,F,Q,Miss.
1,1,female,24.0,0,0,69.3,B,C,Mrs.
1,1,male,25.0,1,0,55.4417,E,C,Mr.
0,3,male,18.0,1,0,6.4958,F,S,Mr.
0,3,male,19.0,0,0,8.05,F,S,Mr.
0,1,male,22.0,0,0,135.6333,C,C,Mr.
0,3,female,3.0,3,1,21.075,F,S,Miss.
1,1,female,40.0,1,0,82.1708,C,C,Mrs.
1,3,female,22.0,0,0,7.25,F,S,Miss.
0,1,male,27.0,0,2,211.5,C,C,Mr.
0,3,male,20.0,0,0,4.0125,F,C,Mr.
0,3,male,19.0,0,0,7.775,F,S,Mr.
1,1,female,42.0,0,0,227.525,C,C,Miss.
1,3,female,1.0,0,2,15.7417,F,C,Miss.
0,3,male,32.0,0,0,7.925,F,S,Mr.
1,1,female,35.0,1,0,52.0,C,S,Mrs.
0,3,male,30.0,0,0,7.8958,F,S,Mr.
0,2,male,18.0,0,0,73.5,E,S,Mr.
0,3,male,1.0,5,2,46.9,F,S,Master.
1,2,female,36.0,0,0,13.0,E,S,Miss.
0,3,male,37.0,0,0,7.7292,F,Q,Mr.
1,2,female,17.0,0,0,12.0,E,C,Miss.
1,1,male,36.0,1,2,120.0,B,S,Mr.
1,3,male,21.0,0,0,7.7958,F,S,Mr.
0,3,male,28.0,2,0,7.925,F,S,Mr.
1,1,female,23.0,1,0,113.275,D,C,Miss.
1,3,female,24.0,0,2,16.7,F,S,Mrs.
0,3,male,22.0,0,0,7.7958,F,S,Mr.
0,3,female,31.0,0,0,7.8542,F,S,Miss.
0,2,male,46.0,0,0,26.0,E,S,Mr.
0,2,male,23.0,0,0,10.5,E,S,etc
1,2,female,28.0,0,0,12.65,E,S,Mrs.
1,3,male,39.0,0,0,7.925,F,S,Mr.
0,3,male,26.0,0,0,8.05,F,S,Mr.
0,3,female,21.0,1,0,9.825,F,S,Miss.
0,3,male,28.0,1,0,15.85,F,S,Mr.
0,3,female,20.0,0,0,8.6625,F,S,Miss.
0,2,male,34.0,1,0,21.0,E,S,Mr.
0,3,male,51.0,0,0,7.75,F,S,Mr.
1,2,male,3.0,1,1,18.75,E,S,Master.
0,3,male,21.0,0,0,7.775,F,S,Mr.
0,3,female,12.0,3,1,25.4667,F,S,Miss.
0,3,male,30.0,0,0,7.8958,F,S,Mr.
0,3,male,37.0,0,0,6.8583,F,Q,Mr.
1,1,female,33.0,1,0,90.0,C,Q,Miss.
0,2,male,34.0,0,0,0.0,E,S,Mr.
1,3,male,44.0,0,0,7.925,F,S,Mr.
0,3,female,33.0,0,0,8.05,F,S,Mrs.
1,2,female,34.0,1,1,32.5,E,S,Mrs.
1,2,female,18.0,0,2,13.0,E,S,Miss.
0,2,male,30.0,0,0,13.0,E,S,Mr.
0,3,female,10.0,0,2,24.15,F,S,Miss.
0,3,male,27.0,0,0,7.8958,F,C,Mr.
0,3,male,21.0,0,0,7.7333,F,Q,Mr.
0,3,male,29.0,0,0,7.875,F,S,Mr.
0,3,female,28.0,1,1,14.4,F,S,Mrs.
0,3,male,18.0,1,1,20.2125,F,S,Mr.
0,3,male,30.0,0,0,7.25,F,S,Mr.
1,2,female,28.0,1,0,26.0,E,S,Mrs.
1,2,female,19.0,0,0,26.0,E,S,Miss.
0,3,male,37.0,0,0,7.75,F,Q,Mr.
1,3,male,32.0,0,0,8.05,E,S,Mr.
1,1,male,28.0,0,0,26.55,C,S,Mr.
1,3,female,31.0,1,0,16.1,F,S,Mrs.
1,2,female,42.0,1,0,26.0,E,S,Mrs.
0,3,male,17.0,0,0,7.125,F,S,Mr.
0,1,male,50.0,1,0,55.9,E,S,Mr.
1,1,female,14.0,1,2,120.0,B,S,Miss.
0,3,female,21.0,2,2,34.375,F,S,Miss.
1,2,female,24.0,2,3,18.75,E,S,Mrs.
0,1,male,64.0,1,4,263.0,C,S,Mr.
0,2,male,31.0,0,0,10.5,E,S,Mr.
1,2,female,45.0,1,1,26.25,E,S,Mrs.
0,3,male,20.0,0,0,9.5,F,S,Mr.
0,3,male,25.0,1,0,7.775,F,S,Mr.
1,2,female,28.0,0,0,13.0,E,S,Miss.
1,3,male,30.0,0,0,8.1125,F,S,Mr.
1,1,male,4.0,0,2,81.8583,A,S,Master.
1,2,female,13.0,0,1,19.5,E,S,Miss.
1,1,male,34.0,0,0,26.55,C,S,Mr.
1,3,female,5.0,2,1,19.2583,F,C,Miss.
1,1,male,52.0,0,0,30.5,C,S,etc
0,2,male,36.0,1,2,27.75,E,S,Mr.
0,3,male,28.0,1,0,19.9667,F,S,Mr.
0,1,male,30.0,0,0,27.75,C,C,Mr.
1,1,male,49.0,1,0,89.1042,C,C,Mr.
0,3,male,30.0,0,0,8.05,F,S,Mr.
1,3,male,29.0,0,0,7.8958,F,C,Mr.
0,1,male,65.0,0,0,26.55,E,S,Mr.
1,1,female,47.0,1,0,51.8625,D,S,Mrs.
1,2,female,50.0,0,0,10.5,E,S,Miss.
0,3,male,37.0,0,0,7.75,F,Q,Mr.
1,1,male,48.0,0,0,26.55,E,S,Mr.
0,3,male,34.0,0,0,8.05,F,S,Mr.
0,1,male,47.0,0,0,38.5,E,S,Mr.
0,2,male,48.0,0,0,13.0,E,S,Mr.
0,3,male,30.0,0,0,8.05,F,S,Mr.
0,3,male,38.0,0,0,7.05,F,S,Mr.
0,2,male,34.0,0,0,0.0,E,S,Mr.
0,1,male,56.0,0,0,26.55,C,S,Mr.
0,3,male,37.0,0,0,7.725,F,Q,Mr.
1,3,female,0.75,2,1,19.2583,F,C,Miss.
0,3,male,30.0,0,0,7.25,F,S,Mr.
0,3,male,38.0,0,0,8.6625,F,S,Mr.
1,2,female,33.0,1,2,27.75,E,S,Mrs.
1,2,female,23.0,0,0,13.7917,D,C,Mrs.
0,3,female,22.0,0,0,9.8375,F,S,Miss.
0,1,male,47.0,0,0,52.0,A,S,Mr.
0,2,male,34.0,1,0,21.0,E,S,Mr.
0,3,male,29.0,1,0,7.0458,F,S,Mr.
0,3,male,22.0,0,0,7.5208,F,S,Mr.
1,3,female,2.0,0,1,12.2875,F,S,Miss.
0,3,male,9.0,5,2,46.9,F,S,Master.
0,2,male,34.0,0,0,0.0,E,S,Mr.
0,3,male,50.0,0,0,8.05,F,S,Mr.
1,3,female,63.0,0,0,9.5875,F,S,Mrs.
1,1,male,25.0,1,0,91.0792,B,C,Mr.
0,3,female,12.0,3,1,25.4667,F,S,Miss.
1,1,female,35.0,1,0,90.0,C,S,Mrs.
0,1,male,58.0,0,0,29.7,B,C,Mr.
0,3,male,30.0,0,0,8.05,F,S,Mr.
1,3,male,9.0,1,1,15.9,F,S,Master.
0,3,male,28.0,1,0,19.9667,F,S,Mr.
0,3,male,21.0,0,0,7.25,F,S,Mr.
0,1,male,55.0,0,0,30.5,C,S,Mr.
0,1,male,71.0,0,0,49.5042,C,C,Mr.
0,3,male,21.0,0,0,8.05,F,S,Mr.
0,3,male,27.0,0,0,14.4583,F,C,Mr.
1,1,female,54.0,1,0,78.2667,D,C,Miss.
0,3,male,30.0,0,0,15.1,F,S,Mr.
0,1,female,25.0,1,2,151.55,C,S,Mrs.
0,3,male,24.0,0,0,7.7958,F,S,Mr.
0,3,male,17.0,0,0,8.6625,F,S,Mr.
0,3,female,21.0,0,0,7.75,F,Q,Miss.
0,3,female,26.0,0,0,7.6292,F,Q,Miss.
0,3,female,37.0,0,0,9.5875,F,S,Miss.
1,1,female,16.0,0,0,86.5,B,S,Miss.
0,1,male,18.0,1,0,108.9,C,C,Mr.
