"º¸¾ÈµîÀ§Ä¡¸í",¼³Ä¡°³¼ö,¼ÒÀçÁöµµ·Î¸íÁÖ¼Ò,¼ÒÀçÁöÁö¹øÁÖ¼Ò,À§µµ,°æµµ,¼³Ä¡¿¬µµ,¼³Ä¡ÇüÅÂ,°ü¸®±â°üÀüÈ­¹øÈ£,°ü¸®±â°ü¸í,µ¥ÀÌÅÍ±âÁØÀÏÀÚ
"°­µ¿µ¿13",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ½Å¸íµ¿ 47,35.646835,129.445864,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿14",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ½Å¸íµ¿ 53,35.646547,129.4453304738,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿15",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ½Å¸íµ¿ 55,35.646469,129.444941,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿16",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ½Å¸íµ¿ 270,35.6472240156,129.4469974960,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿17",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ½Å¸íµ¿ 60,35.6464187490,129.444362,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿18",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ½Å¸íµ¿ 63,35.6462061914,129.4438729367,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿19",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ½Å¸íµ¿ 64,35.646198,129.4430718213,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿20",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ½Å¸íµ¿ 270-4,35.6460615881,129.4428276451,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿21",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ½Å¸íµ¿ 125-4,35.6461828410,129.4425139440,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿22",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ½Å¸íµ¿ 125-1,35.6455495041,129.4418485087,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿23",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ½Å¸íµ¿ 126-1,35.6453520278,129.4416215537,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿24",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ½Å¸íµ¿ 127-16,35.64478602,129.4413496,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿25",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ´ë¾Èµ¿ 705-3,35.66739142,129.3910908830,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿26",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ´ë¾Èµ¿ 36-13,35.6463180645,129.4247472925,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿27",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ½Å¸íµ¿ 141-1,35.6446542138,129.4405101,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿28",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ´ç»çµ¿570,35.58138785,129.4514286,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿29",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ½Å¸íµ¿ 147-4,35.6438895437,129.4401702050,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿30",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ½Å¸íµ¿ 152-58,35.64365836,129.4398072,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿31",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ½Å¸íµ¿ 152-58,35.6436127513,129.4398500643,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿32",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ½Å¸íµ¿ 154-5,35.64337769,129.4396190717,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿33",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ½Å¸íµ¿ 154-5,35.6433335179,129.4396190717,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿34",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ½Å¸íµ¿ 288-1,35.64418334,129.440967,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿35",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ½Å¸íµ¿ 309-9,35.6428906156,129.4407461180,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿36",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ½Å¸íµ¿ 311-1,35.64184542,129.4408447559,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿37",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ½Å¸íµ¿ 323-3,35.64085916,129.4408295045,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿38",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ½Å¸íµ¿ 332-5,35.6403043679,129.4409561437,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿39",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ½Å¸íµ¿ 332-6,35.6401028250,129.4408629745,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿40",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ½Å¸íµ¿ 332-2,35.6400106155,129.4408346,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿41",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ´ë¾Èµ¿1041-41,35.6460723183,129.4217906850,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿42",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ Á¤ÀÚµ¿ 260-1,35.6151255307,129.4431803,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿43",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ½Å¸íµ¿ 152-22,35.6430056272,129.439727,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿44",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ½Å¸íµ¿ 152-9,35.6426884237,129.439727,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿45",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ´ë¾Èµ¿ 1148,35.66652701,129.3904936784,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿46",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ´ë¾Èµ¿99-21,35.6494572309,129.4220803390,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿47",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ´ë¾Èµ¿700-5,35.6667854193,129.3908300928,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿48",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ´ë¾Èµ¿690-1,35.66784283,129.3947678759,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿49",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ½Å¸íµ¿ 322-1,35.6414128363,129.4408961565,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿50",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ´ë¾Èµ¿632,35.664566,129.4013966189,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿51",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ´ë¾Èµ¿690-2,35.6677770584,129.3947214220,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿52",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ´ë¾Èµ¿1146(¹é·Ã»ç),35.6668587592,129.3905595987,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿53",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ´ë¾Èµ¿ 719,35.6659098947,129.3901892912,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿54",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ´ë¾Èµ¿ 848-3,35.655335,129.4033536317,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿55",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ´ë¾Èµ¿ 490,35.654036,129.405202,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿56",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ´ë¾Èµ¿ 481-5,35.653687,129.4061221683,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿57",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ´ë¾Èµ¿ 462,35.6522777956,129.407841,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿58",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ´ë¾Èµ¿ 455,35.653216,129.4078005921,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿59",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ´ë¾Èµ¿ 370,35.6518291086,129.4090545777,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿60",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ´ë¾Èµ¿ 370,35.6518291086,129.4090545777,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿61",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ´ë¾Èµ¿ 458-5,35.652013,129.408678,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿62",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ´ë¾Èµ¿ 1071-1,35.6510016116,129.4112997841,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿63",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ´ë¾Èµ¿ 1071-4,35.650592,129.412572,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿64",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ´ë¾Èµ¿ 220,35.6506033609,129.414772,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿65",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ´ë¾Èµ¿ 218,35.651281,129.4149564325,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿66",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ´ë¾Èµ¿ 182,35.6522150572,129.4175989448,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿67",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ´ë¾Èµ¿ 183,35.6523315641,129.4176230173,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿68",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ´ë¾Èµ¿ 1041-35,35.6521315957,129.4185643839,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿69",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ´ë¾Èµ¿ 194-1,35.650645,129.419793,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿70",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ´ë¾Èµ¿ 1041-30,35.6496165853,129.4206342055,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿71",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ´ë¾Èµ¿ 1041-28,35.6491965144,129.420834,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿72",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ´ë¾Èµ¿ 266-1,35.649206,129.4202982455,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿73",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ´ë¾Èµ¿ 254-6,35.649415,129.4197908870,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿74",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ´ë¾Èµ¿ 255-1,35.6491321948,129.419578,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿75",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ´ë¾Èµ¿ 243,35.649485,129.419096,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿76",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ´ë¾Èµ¿ 243,35.6494755099,129.4190026151,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿77",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ´ë¾Èµ¿ 235,35.6497655281,129.4185016001,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿78",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ´ë¾Èµ¿ 165,35.6524000846,129.4192571211,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿79",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ´ë¾Èµ¿ 188-4,35.651673,129.4199924023,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿80",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ´ë¾Èµ¿ 94-1,35.6508630534,129.420619,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿81",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ´ë¾Èµ¿ 94-4,35.650749,129.4205650508,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿82",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ´ë¾Èµ¿ 1041-6,35.6481647987,129.422421,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿83",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ´ë¾Èµ¿ 1041-10,35.6482785074,129.4222139533,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿84",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ´ë¾Èµ¿ 1041-8,35.648055,129.422175,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿85",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ´ë¾Èµ¿ 1041-3,35.648151,129.422636,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿86",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ´ë¾Èµ¿ 77,35.6484295256,129.4229978759,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿87",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ´ë¾Èµ¿ 44-27,35.6461612803,129.4200910926,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿88",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ´ë¾Èµ¿ 44-36,35.6464115196,129.4204976918,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿89",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ´ë¾Èµ¿ 44-34,35.6467031466,129.420941,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿90",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ´ë¾Èµ¿ 44-44,35.6471425056,129.4218961783,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿91",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ´ë¾Èµ¿ 44-55,35.6473306121,129.422475,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿92",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ´ë¾Èµ¿ 66,35.648134,129.424095,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿93",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ´ë¾Èµ¿ 20-2,35.6476812381,129.4263564636,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿94",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ½Å¸íµ¿ »ê75,35.645911,129.429728,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿95",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ½Å¸íµ¿ 282-19,35.6431341385,129.4310858412,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿96",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ½Å¸íµ¿ 282-19,35.6431341385,129.4310858412,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿97",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ½Å¸íµ¿ 282-48,35.6403811896,129.4342564588,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿98",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ½Å¸íµ¿ 282-38,35.640254,129.4347089041,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿99",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ½Å¸íµ¿ 197-2,35.6400093814,129.437675,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿100",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ½Å¸íµ¿ 190-3,35.6398744395,129.4396883449,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿101",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ´ë¾Èµ¿ 669-11,35.667068,129.400545,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿102",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ´ë¾Èµ¿ 640,35.6665924618,129.4010485004,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿103",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ´ë¾Èµ¿ 639-1,35.6657525589,129.4014375587,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿104",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ´ë¾Èµ¿ 639-2,35.6656063820,129.4014526114,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿105",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ´ë¾Èµ¿ »ê136-2,35.664183,129.402455,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿106",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ´ë¾Èµ¿ 607-4,35.6639886669,129.4020437608,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿107",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ´ë¾Èµ¿ 644-2,35.6655017965,129.4013099,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿108",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ´ë¾Èµ¿ »ê136-3,35.664052,129.4025909904,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿109",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ´ë¾Èµ¿ »ê135,35.6635000818,129.402562,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿110",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ »êÇÏµ¿ 161-1,35.6374218164,129.4315044738,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿111",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ »êÇÏµ¿ 161-1,35.6374218164,129.4315044738,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿112",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ »êÇÏµ¿ 161-1,35.6374218164,129.4315044738,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿113",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ »êÇÏµ¿ 161-5,35.638785,129.432472,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
