보안등위치명,설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치년도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
난계로 55 ,1,,충청북도 영동군 영동읍 난계로 56 ,,,,한전주,043-740-3503,충청북도 영동군청,2016-09-23
난계로 56 ,1,,충청북도 영동군 영동읍 난계로 57 ,,,,한전주,043-740-3503,충청북도 영동군청,2016-09-23
난계로 57 ,1,,충청북도 영동군 영동읍 난계로 58 ,,,,한전주,043-740-3503,충청북도 영동군청,2016-09-23
난계로 58 ,1,,충청북도 영동군 영동읍 난계로 59 ,,,,한전주,043-740-3503,충청북도 영동군청,2016-09-23
난계로 59 ,1,,충청북도 영동군 영동읍 난계로 59 ,,,,한전주,043-740-3503,충청북도 영동군청,2016-09-23
난계로 23 ,1,,충청북도 영동군 심천면 난계로  ,,36.1712698805,127.829874282,한전주,043-740-3503,충청북도 영동군청,2016-09-23
난계로 59-R1 ,1,,충청북도 영동군 영동읍 난계로 59 ,,,,한전주,043-740-3503,충청북도 영동군청,2016-09-23
난계로 59-R2 ,1,,충청북도 영동군 황간면 난곡1길 40 건너창고 ,,36.2455796003,127.935533657,한전주,043-740-3503,충청북도 영동군청,2016-09-23
난곡1길 01 ,1,,충청북도 영동군 황간면 난곡2길 8-1 난곡리 경로당 ,,36.2464555002,127.935998005,한전주,043-740-3503,충청북도 영동군청,2016-09-23
난곡1길 02 ,1,,충청북도 영동군 황간면 난곡1길 43 ,,36.2459171705,127.936156238,한전주,043-740-3503,충청북도 영동군청,2016-09-23
난곡1길 03 ,1,,충청북도 영동군 황간면 난곡1길 67 ,,36.2454086809,127.938486435,한전주,043-740-3503,충청북도 영동군청,2016-09-23
난곡1길 04 ,1,,충청북도 영동군 황간면 난곡2길 8-1 ,,36.2464555002,127.935998005,한전주,043-740-3503,충청북도 영동군청,2016-09-23
난곡2길 01 ,1,,충청북도 영동군 황간면 황간면 난곡리227-8 ,,36.2466060105,127.936111053,한전주,043-740-3503,충청북도 영동군청,2016-09-23
난곡2길 01-R1 ,1,,충청북도 영동군 황간면 난곡2길 10 앞 ,,36.2466095451,127.936119995,한전주,043-740-3503,충청북도 영동군청,2016-09-23
마곡길 03-R1 ,1,,충청북도 영동군 심천면 마곡리 마곡길 130-3 ,,,,한전주,043-740-3503,충청북도 영동군청,2016-09-23
마곡길 04 ,1,,충청북도 영동군 학산면  마실길 149-16 ,,36.0880914023,127.672122462,한전주,043-740-3503,충청북도 영동군청,2016-09-23
마실길 01 ,1,,충청북도 영동군 학산면  마실길 149-12 ,,36.087982298,127.671650764,한전주,043-740-3503,충청북도 영동군청,2016-09-23
마실길 02 ,1,,충청북도 영동군 학산면 학산리 389-2 ,,36.0887123705,127.671954539,한전주,043-740-3503,충청북도 영동군청,2016-09-23
마실길 02-R1 ,1,,충청북도 영동군 학산면  마실길 입구 ,,,,한전주,043-740-3503,충청북도 영동군청,2016-09-23
마실길 03 ,1,,충청북도 영동군 학산면  마실길178 옆 ,,36.0872566159,127.669273,한전주,043-740-3503,충청북도 영동군청,2016-09-23
마실길 04 ,1,,충청북도 영동군 학산면 마실길 182 ,,36.0870419247,127.668986946,한전주,043-740-3503,충청북도 영동군청,2016-09-23
마실길 05 ,1,,충청북도 영동군 학산면  마실길 184 ,,36.0870428667,127.668818189,한전주,043-740-3503,충청북도 영동군청,2016-09-23
마실길 06 ,1,,충청북도 영동군 학산면  마실길 183-10 밑 ,,36.0866113759,127.668623565,한전주,043-740-3503,충청북도 영동군청,2016-09-23
마실길 06-L1 ,1,,충청북도 영동군 학산면  마실길 181-5 ,,,,한전주,043-740-3503,충청북도 영동군청,2016-09-23
마실길 06-L2 ,1,,충청북도 영동군 학산면  마실길 183-10 ,,36.0866113759,127.668623565,한전주,043-740-3503,충청북도 영동군청,2016-09-23
마실길 06-R1 ,1,,충청북도 영동군 학산면  마실길 183-10 밑 ,,36.0866113759,127.668623565,한전주,043-740-3503,충청북도 영동군청,2016-09-23
마실길 06-R2 ,1,,충청북도 영동군 학산면  마실길 184-1 앞 ,,36.0871868786,127.668850498,한전주,043-740-3503,충청북도 영동군청,2016-09-23
마실길 07 ,1,,충청북도 영동군 학산면  마실길 189-2 ,,36.0866425661,127.66820192,한전주,043-740-3503,충청북도 영동군청,2016-09-23
마실길 08 ,1,,충청북도 영동군 학산면  마실길 196 ,,36.0864763906,127.667618725,한전주,043-740-3503,충청북도 영동군청,2016-09-23
마실길 09 ,1,,충청북도 영동군 학산면  마실길10 ,,36.0956163339,127.681394073,한전주,043-740-3503,충청북도 영동군청,2016-09-23
마실길 10 ,1,,충청북도 영동군 영동읍 마평길 7입구 ,,36.1666777638,127.803943519,한전주,043-740-3503,충청북도 영동군청,2016-09-23
마평길 01 ,1,,충청북도 영동군 영동읍 마평길 12-1 ,,36.166704032,127.804326111,한전주,043-740-3503,충청북도 영동군청,2016-09-23
마평길 02 ,1,,충청북도 영동군 영동읍 마평길 16 ,,36.1671331441,127.804303821,한전주,043-740-3503,충청북도 영동군청,2016-09-23
마평길 02-L1 ,1,,충청북도 영동군 영동읍 마평길 38-1 ,,36.1664303803,127.804816776,한전주,043-740-3503,충청북도 영동군청,2016-09-23
마평길 03 ,1,,충청북도 영동군 영동읍 마평길 36뒤 ,,36.1666711632,127.804925933,한전주,043-740-3503,충청북도 영동군청,2016-09-23
마평길 03-L1 ,1,,충청북도 영동군 영동읍 마평길 47 ,,36.1654738488,127.805007047,한전주,043-740-3503,충청북도 영동군청,2016-09-23
마평길 04 ,1,,충청북도 영동군 양강면 마포1길4-1앞 ,,36.1199977629,127.699767746,한전주,043-740-3503,충청북도 영동군청,2016-09-23
마포1길 01 ,1,,충청북도 영동군 양강면 마포1길 12 앞 ,,36.119370875,127.699708867,한전주,043-740-3503,충청북도 영동군청,2016-09-23
마포1길 02 ,1,,충청북도 영동군 양강면 마포2길8앞 ,,36.1211548891,127.699769128,한전주,043-740-3503,충청북도 영동군청,2016-09-23
마포2길 01 ,1,,충청북도 영동군 양강면 마포2길13 앞 ,,36.1207618082,127.699179156,한전주,043-740-3503,충청북도 영동군청,2016-09-23
마포2길 02 ,1,,충청북도 영동군 양강면 마포2길 21앞 ,,36.1210957601,127.698164653,한전주,043-740-3503,충청북도 영동군청,2016-09-23
마포2길 03 ,1,,충청북도 영동군 양강면 묵정리 마포3길 4-9 ,,36.1210845693,127.701314694,한전주,043-740-3503,충청북도 영동군청,2016-09-23
마포3길 01 ,1,,충청북도 영동군 양강면 마포로11-60옆 ,,36.1221858295,127.69668141,한전주,043-740-3503,충청북도 영동군청,2016-09-23
마포로 01 ,1,,충청북도 영동군 양강면 묵정리 마포길 706 - 98 마포리 마포교인근,,,,한전주,043-740-3503,충청북도 영동군청,2016-09-23
마포로 02  ,1,,충청북도 영동군 황간면 마포리길 3 건너 ,,36.235618882,127.842545276,한전주,043-740-3503,충청북도 영동군청,2016-09-23
마포리길 01 ,1,,충청북도 영동군 황간면 마포리길 7 건너 ,,36.2353861006,127.842840894,한전주,043-740-3503,충청북도 영동군청,2016-09-23
마포리길 02 ,1,,충청북도 영동군 황간면 마포리길 13 ,,36.2353956265,127.843535117,한전주,043-740-3503,충청북도 영동군청,2016-09-23
마포리길 03 ,1,,충청북도 영동군 황간면 마포리길 21 ,,36.2350986488,127.844243843,한전주,043-740-3503,충청북도 영동군청,2016-09-23
마포리길 04 ,1,,충청북도 영동군 황간면 마포리길 23 ,,36.2349418069,127.844504675,한전주,043-740-3503,충청북도 영동군청,2016-09-23
마포리길 05 ,1,,충청북도 영동군 황간면 마포리길 8-16 ,,36.2348245026,127.843248666,한전주,043-740-3503,충청북도 영동군청,2016-09-23
마포리길 06 ,1,,충청북도 영동군 용산면 매금1길 9-5 ,,36.2819094754,127.828163533,한전주,043-740-3503,충청북도 영동군청,2016-09-23
매금1길 01 ,1,,충청북도 영동군 용산면 매금1길 9-7 ,,36.2819229063,127.828306143,한전주,043-740-3503,충청북도 영동군청,2016-09-23
매금1길 01-R1 ,1,,충청북도 영동군 용산면 매금1길 10 ,,36.2818181657,127.827815302,한전주,043-740-3503,충청북도 영동군청,2016-09-23
매금1길 02 ,1,,충청북도 영동군 용산면 매금리2길5 ,,36.2943796344,127.832592315,한전주,043-740-3503,충청북도 영동군청,2016-09-23
매금2길 01 ,1,,충청북도 영동군 용산면 매금2길 11 ,,36.2829946735,127.828134929,한전주,043-740-3503,충청북도 영동군청,2016-09-23
매금2길 02  ,1,,충청북도 영동군 용산면 매금2길 8-16 ,,36.2825978784,127.828696163,한전주,043-740-3503,충청북도 영동군청,2016-09-23
매금2길 02-L1 ,1,,충청북도 영동군 용산면 매금2길 5 ,,36.2826711122,127.827490397,한전주,043-740-3503,충청북도 영동군청,2016-09-23
매금2길 02-R1 ,1,,충청북도 영동군 용산면 매금2길 18 ,,36.2828955613,127.828913015,한전주,043-740-3503,충청북도 영동군청,2016-09-23
매금2길 03 ,1,,충청북도 영동군 용산면 매금2길 31 ,,36.2831642352,127.830193639,한전주,043-740-3503,충청북도 영동군청,2016-09-23
매금2길 04 ,1,,충청북도 영동군 용산면 매금2길 31 ,,36.2831642352,127.830193639,한전주,043-740-3503,충청북도 영동군청,2016-09-23
매금2길 05 ,1,,충청북도 영동군 용산면 매금3길 3 ,,,,한전주,043-740-3503,충청북도 영동군청,2016-09-23
매금3길 01 ,1,,충청북도 영동군 용산면 매금3길 4 ,,36.2833278794,127.826865115,한전주,043-740-3503,충청북도 영동군청,2016-09-23
매금3길 02 ,1,,충청북도 영동군 용산면 매금3길 20 ,,36.2833234089,127.828552458,한전주,043-740-3503,충청북도 영동군청,2016-09-23
개춘1길 02 ,1,,충청북도 영동군 매곡면 개춘1길 48 ,,36.1639770597,127.953824953,한전주,043-740-3503,충청북도 영동군청,2016-09-23
개춘1길 03 ,1,,충청북도 영동군 매곡면 강진리 개춘1길 40건너 ,,36.1643572572,127.954967589,한전주,043-740-3503,충청북도 영동군청,2016-09-23
개춘1길 04 ,1,,충청북도 영동군 매곡면 개춘1길 32 ,,36.164763696,127.955079211,한전주,043-740-3503,충청북도 영동군청,2016-09-23
개춘1길 05 ,1,,충청북도 영동군 매곡면 개춘1길 30 뒷길 ,,36.1648784318,127.955156175,한전주,043-740-3503,충청북도 영동군청,2016-09-23
개춘1길 06 ,1,,충청북도 영동군 매곡면 개춘1길 21-1 좌측 ,,36.1650847767,127.954594104,한전주,043-740-3503,충청북도 영동군청,2016-09-23
개춘1길 07 ,1,,충청북도 영동군 매곡면 개춘2길 ,,36.1614790262,127.961036027,한전주,043-740-3503,충청북도 영동군청,2016-09-23
개춘2길 01 ,1,,충청북도 영동군 매곡면 개춘2길 ,,36.1614790262,127.961036027,한전주,043-740-3503,충청북도 영동군청,2016-09-23
개춘2길 01-L1 ,1,,충청북도 영동군 매곡면 강진리 개춘2길 23 - 9 ,,36.1605975574,127.959478333,한전주,043-740-3503,충청북도 영동군청,2016-09-23
개춘2길 01-L1  ,1,,충청북도 영동군 매곡면 개춘2길 28-7 입구길 ,,36.1597440189,127.960281397,한전주,043-740-3503,충청북도 영동군청,2016-09-23
개춘2길 02 ,1,,충청북도 영동군 매곡면 개춘2길 32 (물여대회관우측) ,,36.1602339227,127.960322934,한전주,043-740-3503,충청북도 영동군청,2016-09-23
개춘2길 03 ,1,,충청북도 영동군 매곡면 개춘2길 31-1 ,,36.1604124241,127.960089515,한전주,043-740-3503,충청북도 영동군청,2016-09-23
개춘2길 04 ,1,,충청북도 영동군 매곡면 개춘2길 48 ,,36.1615366599,127.961490148,한전주,043-740-3503,충청북도 영동군청,2016-09-23
개춘2길 04-R1 ,1,,충청북도 영동군 매곡면 개춘2길 34-9 앞 ,,36.1600290851,127.960693831,한전주,043-740-3503,충청북도 영동군청,2016-09-23
개춘2길 05 ,1,,충청북도 영동군 매곡면 매곡면 개춘2길76 ,,36.162395896,127.963567713,한전주,043-740-3503,충청북도 영동군청,2016-09-23
개춘2길04-R2 ,1,,충청북도 영동군 추풍령면 죽전리산 109-3 ,,36.2119094927,128.016728803,한전주,043-740-3503,충청북도 영동군청,2016-09-23
검바우길 02 ,1,,충청북도 영동군 추풍령면 죽전리산109-3 ,,36.2119094927,128.016728803,한전주,043-740-3503,충청북도 영동군청,2016-09-23
검바우길01 ,1,,충청북도 영동군 추풍령면 계룡1길 37-24 ,,36.2091414845,127.955893975,한전주,043-740-3503,충청북도 영동군청,2016-09-23
계룡1길 01 ,1,,충청북도 영동군 추풍령면 계룡1길 37-24 ,,36.2091414845,127.955893975,한전주,043-740-3503,충청북도 영동군청,2016-09-23
계룡1길 02 ,1,,충청북도 영동군 추풍령면 계룡1길 55-18 ,,36.2087246267,127.954830295,한전주,043-740-3503,충청북도 영동군청,2016-09-23
계룡1길 02-L1 ,1,,충청북도 영동군 추풍령면 계룡1길 37-10 ,,36.2093161429,127.955237799,한전주,043-740-3503,충청북도 영동군청,2016-09-23
계룡1길 03 ,1,,충청북도 영동군 추풍령면 계룡1길 41 ,,36.2097382317,127.954291058,한전주,043-740-3503,충청북도 영동군청,2016-09-23
계룡1길 04 ,1,,충청북도 영동군 추풍령면 계룡1길41 ,,36.2097382317,127.954291058,한전주,043-740-3503,충청북도 영동군청,2016-09-23
계룡1길 04-L1 ,1,,충청북도 영동군 추풍령면 계룡1길 54 ,,36.2093813468,127.953841927,한전주,043-740-3503,충청북도 영동군청,2016-09-23
계룡1길 05 ,1,,충청북도 영동군 추풍령면 계룡1길 54 ,,36.2093813468,127.953841927,한전주,043-740-3503,충청북도 영동군청,2016-09-23
계룡1길 06 ,1,,충청북도 영동군 추풍령면 계룡1길 55-4 ,,36.2088648543,127.954422788,한전주,043-740-3503,충청북도 영동군청,2016-09-23
계룡1길 07 ,1,,충청북도 영동군 추풍령면 계룡1길73전 ,,36.2075430169,127.954740327,한전주,043-740-3503,충청북도 영동군청,2016-09-23
계룡1길 08 ,1,,충청북도 영동군 추풍령면 계룡1길 73건너 ,,36.2075430169,127.954740327,한전주,043-740-3503,충청북도 영동군청,2016-09-23
계룡1길 09 ,1,,충청북도 영동군 추풍령면 계룡1길 79건너 ,,36.2072058925,127.954073502,한전주,043-740-3503,충청북도 영동군청,2016-09-23
계룡1길 10 ,1,,충청북도 영동군 추풍령면 계룡1길 85 ,,36.206867843,127.953522315,한전주,043-740-3503,충청북도 영동군청,2016-09-23
계룡1길 11 ,1,,충청북도 영동군 추풍령면 계룡1길 87-1 ,,36.2065985473,127.953390062,한전주,043-740-3503,충청북도 영동군청,2016-09-23
계룡1길 11-L1 ,1,,충청북도 영동군 추풍령면 계룡1길 89 ,,36.2066514165,127.953088251,한전주,043-740-3503,충청북도 영동군청,2016-09-23
계룡1길 12 ,1,,충청북도 영동군 추풍령면 계룡1길 93 ,,36.2064990791,127.953206495,한전주,043-740-3503,충청북도 영동군청,2016-09-23
계룡1길 13 ,1,,충청북도 영동군 추풍령면 계룡1길 97 ,,36.206229358,127.953127611,한전주,043-740-3503,충청북도 영동군청,2016-09-23
계룡1길 14 ,1,,충청북도 영동군 추풍령면 계룡1길 96-11 ,,36.2066172571,127.952398425,한전주,043-740-3503,충청북도 영동군청,2016-09-23
계룡1길 14-L1 ,1,,충청북도 영동군 추풍령면 계룡1길 104 ,,36.2058289607,127.953162786,한전주,043-740-3503,충청북도 영동군청,2016-09-23
계룡1길 15 ,1,,충청북도 영동군 추풍령면 계룡1길 105 ,,36.2056525172,127.95359208,한전주,043-740-3503,충청북도 영동군청,2016-09-23
계룡1길 16 ,1,,충청북도 영동군 추풍령면 계룡1길 113 ,,36.2050460716,127.953700364,한전주,043-740-3503,충청북도 영동군청,2016-09-23
계룡1길 17 ,1,,충청북도 영동군 추풍령면 계룡1길 113 ,,36.2050460716,127.953700364,한전주,043-740-3503,충청북도 영동군청,2016-09-23
계룡1길 18 ,1,,충청북도 영동군 추풍령면 계룡2길135 ,,36.2022545464,127.963789169,한전주,043-740-3503,충청북도 영동군청,2016-09-23
계룡2길 01 ,1,,충청북도 영동군 추풍령면 계룡리 계룡2길 60  ,,36.2090027141,127.962862228,한전주,043-740-3503,충청북도 영동군청,2016-09-23
계룡2길 01-L1  ,1,,충청북도 영동군 추풍령면 계룡리504 ,,36.2122287394,127.962879513,한전주,043-740-3503,충청북도 영동군청,2016-09-23
계룡2길 01-R1 ,1,,충청북도 영동군 추풍령면 계룡2길 137-8 ,,36.2016419583,127.963763868,한전주,043-740-3503,충청북도 영동군청,2016-09-23
계룡2길 02 ,1,,충청북도 영동군 추풍령면 계룡2길 137-20 ,,36.2014261657,127.963703405,한전주,043-740-3503,충청북도 영동군청,2016-09-23
계룡2길 02-L1 ,1,,충청북도 영동군 추풍령면 계룡리 계룡2길 145 ,,36.201478631,127.963454987,한전주,043-740-3503,충청북도 영동군청,2016-09-23
계룡2길 02-R1 ,1,,충청북도 영동군 추풍령면 계룡2길 150 ,,36.2012451849,127.962900635,한전주,043-740-3503,충청북도 영동군청,2016-09-23
계룡2길 03 ,1,,충청북도 영동군 추풍령면 계룡2길 154 ,,36.2006461907,127.9629778,한전주,043-740-3503,충청북도 영동군청,2016-09-23
계룡2길 04 ,1,,충청북도 영동군 추풍령면 계룡2길 154 ,,36.2006461907,127.9629778,한전주,043-740-3503,충청북도 영동군청,2016-09-23
계룡2길 04-R1 ,1,,충청북도 영동군 추풍령면 계룡2길 150 ,,36.2012451849,127.962900635,한전주,043-740-3503,충청북도 영동군청,2016-09-23
난곡2길 02 ,1,,충청북도 영동군 황간면 난곡2길 15-1 ,,36.2471775099,127.935859762,한전주,043-740-3503,충청북도 영동군청,2016-09-23
난곡2길 03 ,1,,충청북도 영동군 황간면 난곡1길 ,,36.245720941,127.939575979,한전주,043-740-3503,충청북도 영동군청,2016-09-23
난곡길 01 ,1,,충청북도 영동군 황간면 난곡길 ,,36.2432595948,127.931661289,한전주,043-740-3503,충청북도 영동군청,2016-09-23
난곡길 02 ,1,,충청북도 영동군 황간면 난곡길 211 ,,36.2455258682,127.935951319,한전주,043-740-3503,충청북도 영동군청,2016-09-23
난곡길 03 ,1,,충청북도 영동군 황간면 황간면 난곡길211 ,,36.2455258682,127.935951319,한전주,043-740-3503,충청북도 영동군청,2016-09-23
난곡길 03-L1 ,1,,충청북도 영동군 황간면 난곡길212-16 ,,36.2445310451,127.935943907,한전주,043-740-3503,충청북도 영동군청,2016-09-23
난곡길 03-R1 ,1,,충청북도 영동군 황간면 난곡길 49 ,,36.2419514091,127.919978303,한전주,043-740-3503,충청북도 영동군청,2016-09-23
난곡길 04 ,1,,충청북도 영동군 황간면 난곡길218-7 ,,36.2448404564,127.936939944,한전주,043-740-3503,충청북도 영동군청,2016-09-23
난곡길 04-R1 ,1,,충청북도 영동군 황간면 난곡길218-19 ,,36.244601457,127.937079491,한전주,043-740-3503,충청북도 영동군청,2016-09-23
난곡길 04-R2 ,1,,충청북도 영동군 황간면 난곡길222 ,,36.2450911892,127.937143187,한전주,043-740-3503,충청북도 영동군청,2016-09-23
난곡길 05 ,1,,충청북도 영동군 황간면 난곡길 224 ,,36.245023941,127.937444985,한전주,043-740-3503,충청북도 영동군청,2016-09-23
난곡길 06 ,1,,충청북도 영동군 심천면 날근이길 14 ,,36.233727973,127.704601901,한전주,043-740-3503,충청북도 영동군청,2016-09-23
날근이길 01 ,1,,충청북도 영동군 심천면 날근이안길입구 ,,,,한전주,043-740-3503,충청북도 영동군청,2016-09-23
날근이길 02 ,1,,충청북도 영동군 심천면 날근이길 29 ,,36.234566852,127.705997669,한전주,043-740-3503,충청북도 영동군청,2016-09-23
날근이길 03 ,1,,충청북도 영동군 심천면 날근이길 31 ,,36.2346742261,127.706127669,한전주,043-740-3503,충청북도 영동군청,2016-09-23
날근이길 04 ,1,,충청북도 영동군 심천면 날근이길 36-1 ,,36.2345437855,127.706851763,한전주,043-740-3503,충청북도 영동군청,2016-09-23
날근이길 05 ,1,,충청북도 영동군 심천면 날근이길 35-10 ,,36.2351282957,127.706759135,한전주,043-740-3503,충청북도 영동군청,2016-09-23
날근이길 05-L1 ,1,,충청북도 영동군 심천면 날근이길 41 ,,36.2348120998,127.707196789,한전주,043-740-3503,충청북도 영동군청,2016-09-23
날근이길 06 ,1,,충청북도 영동군 심천면 날근이길 41-8 ,,36.2351932844,127.707351506,한전주,043-740-3503,충청북도 영동군청,2016-09-23
날근이길 06-L1 ,1,,충청북도 영동군 심천면 날근이안길 38-1 ,,36.235040316,127.707617099,한전주,043-740-3503,충청북도 영동군청,2016-09-23
날근이길 07 ,1,,충청북도 영동군 심천면 날근이안길 15 ,,36.2355111482,127.70540992,한전주,043-740-3503,충청북도 영동군청,2016-09-23
날근이안길 01 ,1,,충청북도 영동군 심천면 날근이길 35-18 ,,36.2355003232,127.706633447,한전주,043-740-3503,충청북도 영동군청,2016-09-23
날근이안길 02 ,1,,충청북도 영동군 심천면 날근이안길 34 ,,36.2355506051,127.707274633,한전주,043-740-3503,충청북도 영동군청,2016-09-23
날근이안길 03 ,1,,충청북도 영동군 용산면 남부로 ,,36.2394314358,127.808768278,한전주,043-740-3503,충청북도 영동군청,2016-09-23
남부로 01 ,1,,충청북도 영동군 용산면 남부로 ,,36.2394314358,127.808768278,한전주,043-740-3503,충청북도 영동군청,2016-09-23
남부로 02 ,1,,충청북도 영동군 용산면 송천교 5 ,,,,한전주,043-740-3503,충청북도 영동군청,2016-09-23
남부로 03 ,1,,충청북도 영동군 용산면 송천교 ,,,,한전주,043-740-3503,충청북도 영동군청,2016-09-23
남부로 04 ,1,,충청북도 영동군 용산면 남부로 696-109 ,,36.2298571023,127.80774424,한전주,043-740-3503,충청북도 영동군청,2016-09-23
남부로 04-L1 ,1,,충청북도 영동군 용산면 전주동길 31←1 ,,,,한전주,043-740-3503,충청북도 영동군청,2016-09-23
남부로 05 ,1,,충청북도 영동군 용산면 율리 지하도밑 ,,,,한전주,043-740-3503,충청북도 영동군청,2016-09-23
남부로 06 ,1,,충청북도 영동군 용산면 율리 산65-5 ,,36.243883614,127.811902436,한전주,043-740-3503,충청북도 영동군청,2016-09-23
남부로 06-L1 ,1,,충청북도 영동군 용산면 율리길 1 ,,,,한전주,043-740-3503,충청북도 영동군청,2016-09-23
남부로 07 ,1,,충청북도 영동군 용산면 율리길 입구 (남부로) ,,,,한전주,043-740-3503,충청북도 영동군청,2016-09-23
남부로 08 ,1,,충청북도 영동군 용산면 남부로 (출사 : 영동IC방향) ,,,,한전주,043-740-3503,충청북도 영동군청,2016-09-23
남부로 09 ,1,,충청북도 영동군 용산면 용산면 상용리 29 ,,36.273363001,127.828660875,한전주,043-740-3503,충청북도 영동군청,2016-09-23
