,state,city,cctv_cnt,sclight_cnt,smalight_cnt,strlamp_cnt,crime_rate,avg_pop_density,new_state
47,경기도,포천시,1400,10000,34,99994,0.2489,1303.4,경기도 포천시
48,경기도,하남시,1867,3448,633,99994,0.2489,1303.4,경기도 하남시
49,경기도,화성시,11327,17499,99993,43553,0.2489,1303.4,경기도 화성시
50,경기도,가평군,99991,9119,206,99994,0.2489,1303.4,경기도 가평군
51,경상남도,거제시,695,8557,75,99994,0.0722,316.54,경상남도 거제시
52,경상남도,거창군,1975,6994,76,99994,0.0722,316.54,경상남도 거창군
53,경상남도,고성군,383,5092,16,99994,0.0722,316.54,경상남도 고성군
54,경상남도,김해시,4329,10960,333,99994,0.0722,316.54,경상남도 김해시
55,경상남도,남해군,840,6154,56,99994,0.0722,316.54,경상남도 남해군
56,경상남도,밀양시,809,10158,65,99994,0.0722,316.54,경상남도 밀양시
57,경상남도,사천시,2392,99992,59,99994,0.0722,316.54,경상남도 사천시
58,경상남도,산청군,952,7611,18,99994,0.0722,316.54,경상남도 산청군
59,경상남도,양산시,1464,6918,456,99994,0.0722,316.54,경상남도 양산시
60,경상남도,의령군,759,5273,41,99994,0.0722,316.54,경상남도 의령군
61,경상남도,진주시,1497,15284,929,99994,0.0722,316.54,경상남도 진주시
62,경상남도,창녕군,722,5354,51,99994,0.0722,316.54,경상남도 창녕군
63,경상남도,창원시,2772,25215,214,99994,0.0722,316.54,경상남도 창원시
64,경상남도,통영시,2030,6150,77,99994,0.0722,316.54,경상남도 통영시
65,경상남도,하동군,1598,7043,1,99994,0.0722,316.54,경상남도 하동군
66,경상남도,함안군,1196,7043,71,99994,0.0722,316.54,경상남도 함안군
67,경상남도,함양군,584,5037,49,99994,0.0722,316.54,경상남도 함양군
68,경상남도,합천군,667,6901,17,99994,0.0722,316.54,경상남도 합천군
69,경상남도,거제면,99991,5,99993,99994,0.0722,316.54,경상남도 거제면
70,경상남도,진영읍,99991,3,99993,99994,0.0722,316.54,경상남도 진영읍
71,경상북도,경산시,894,13735,173,6008,0.0451,139.72,경상북도 경산시
72,경상북도,경주시,2385,9870,67,5905,0.0451,139.72,경상북도 경주시
73,경상북도,고령군,1054,99992,18,880,0.0451,139.72,경상북도 고령군
74,경상북도,구미시,3771,15830,47,11181,0.0451,139.72,경상북도 구미시
75,경상북도,군위군,6,131,99993,3446,0.0451,139.72,경상북도 군위군
76,경상북도,김천시,2288,10000,20,6006,0.0451,139.72,경상북도 김천시
77,경상북도,문경시,1942,763,99993,10596,0.0451,139.72,경상북도 문경시
78,경상북도,봉화군,843,6137,11,4830,0.0451,139.72,경상북도 봉화군
79,경상북도,상주시,661,10000,82,2138,0.0451,139.72,경상북도 상주시
80,경상북도,성주군,476,7507,6,5843,0.0451,139.72,경상북도 성주군
81,경상북도,안동시,858,13309,6,13433,0.0451,139.72,경상북도 안동시
82,경상북도,영덕군,2,5700,99993,5736,0.0451,139.72,경상북도 영덕군
83,경상북도,영양군,361,3649,99993,2455,0.0451,139.72,경상북도 영양군
84,경상북도,영주시,770,99992,99993,9211,0.0451,139.72,경상북도 영주시
85,경상북도,영천시,1677,8229,42,2889,0.0451,139.72,경상북도 영천시
86,경상북도,예천군,761,11351,99993,770,0.0451,139.72,경상북도 예천군
87,경상북도,울릉군,103,99992,99993,1189,0.0451,139.72,경상북도 울릉군
88,경상북도,울진군,446,12020,77,8254,0.0451,139.72,경상북도 울진군
89,경상북도,의성군,1341,99992,19,767,0.0451,139.72,경상북도 의성군
90,경상북도,청도군,265,4677,99993,1238,0.0451,139.72,경상북도 청도군
91,경상북도,청송군,172,5268,28,3618,0.0451,139.72,경상북도 청송군
92,경상북도,칠곡군,1849,6354,11,9952,0.0451,139.72,경상북도 칠곡군
93,경상북도,포항시,1497,14350,35,11765,0.0451,139.72,경상북도 포항시
94,경상북도,안막동,99991,1,99993,99994,0.0451,139.72,경상북도 안막동
95,광주광역시,광산구,726,10272,101,99994,0.0283,2964.74,광주광역시 광산구
96,광주광역시,남구,49,10854,16,3052,0.0283,2964.74,광주광역시 남구
97,광주광역시,동구,81,3958,28,99994,0.0283,2964.74,광주광역시 동구
98,광주광역시,북구,813,9913,48,6563,0.0283,2964.74,광주광역시 북구
99,광주광역시,서구,51,7199,62,99994,0.0283,2964.74,광주광역시 서구
100,대구광역시,남구,882,7295,112,99994,0.0494,2744.8,대구광역시 남구
101,대구광역시,달서구,1837,10047,63,99994,0.0494,2744.8,대구광역시 달서구
102,대구광역시,달성군,1583,9905,9,99994,0.0494,2744.8,대구광역시 달성군
103,대구광역시,동구,1294,14576,69,99994,0.0494,2744.8,대구광역시 동구
104,대구광역시,북구,1943,10873,34,99994,0.0494,2744.8,대구광역시 북구
105,대구광역시,서구,733,8880,24,99994,0.0494,2744.8,대구광역시 서구
106,대구광역시,수성구,2471,11617,62,99994,0.0494,2744.8,대구광역시 수성구
107,대구광역시,중구,718,3919,31,99994,0.0494,2744.8,대구광역시 중구
108,대전광역시,대덕구,893,8295,66,5824,0.0307,2781.58,대전광역시 대덕구
109,대전광역시,동구,581,15122,99993,5790,0.0307,2781.58,대전광역시 동구
110,대전광역시,서구,757,15407,67,9244,0.0307,2781.58,대전광역시 서구
111,대전광역시,유성구,581,8595,72,17266,0.0307,2781.58,대전광역시 유성구
112,대전광역시,중구,738,12589,35,4958,0.0307,2781.58,대전광역시 중구
113,부산광역시,강서구,598,4750,99993,19623,0.0767,4378.44,부산광역시 강서구
114,부산광역시,금정구,35,4775,9,99994,0.0767,4378.44,부산광역시 금정구
115,부산광역시,기장군,1259,5613,81,11333,0.0767,4378.44,부산광역시 기장군
116,부산광역시,남구,1,4516,76,4453,0.0767,4378.44,부산광역시 남구
117,부산광역시,동구,1318,3488,26,2900,0.0767,4378.44,부산광역시 동구
118,부산광역시,동래구,1236,4495,40,4532,0.0767,4378.44,부산광역시 동래구
119,부산광역시,부산진구,1007,9379,24,99994,0.0767,4378.44,부산광역시 부산진구
120,부산광역시,북구,746,3803,70,4521,0.0767,4378.44,부산광역시 북구
121,부산광역시,사상구,442,3820,99993,99994,0.0767,4378.44,부산광역시 사상구
122,부산광역시,사하구,517,5549,99993,6042,0.0767,4378.44,부산광역시 사하구
123,부산광역시,서구,483,5106,21,2848,0.0767,4378.44,부산광역시 서구
124,부산광역시,수영구,2998,3279,99993,4009,0.0767,4378.44,부산광역시 수영구
125,부산광역시,연제구,570,3308,48,99994,0.0767,4378.44,부산광역시 연제구
126,부산광역시,영도구,535,4464,3,99994,0.0767,4378.44,부산광역시 영도구
127,부산광역시,중구,461,1783,21,1777,0.0767,4378.44,부산광역시 중구
128,부산광역시,해운대구,899,3640,11,99994,0.0767,4378.44,부산광역시 해운대구
129,부산광역시,연재구,99991,99992,99993,3922,0.0767,4378.44,부산광역시 연재구
130,부산광역시,진구,99991,99992,99993,8258,0.0767,4378.44,부산광역시 진구
131,서울특별시,강남구,6186,10211,4231,99994,0.1929,15899.1,서울특별시 강남구
132,서울특별시,강동구,2813,7534,1037,99994,0.1929,15899.1,서울특별시 강동구
133,서울특별시,강북구,2300,9777,22,99994,0.1929,15899.1,서울특별시 강북구
134,서울특별시,강서구,1509,8646,898,99994,0.1929,15899.1,서울특별시 강서구
135,서울특별시,관악구,1662,12401,988,3026,0.1929,15899.1,서울특별시 관악구
136,서울특별시,광진구,923,8971,775,4715,0.1929,15899.1,서울특별시 광진구
137,서울특별시,구로구,1779,8015,1051,99994,0.1929,15899.1,서울특별시 구로구
138,서울특별시,금천구,778,6301,709,99994,0.1929,15899.1,서울특별시 금천구
139,서울특별시,노원구,2405,6791,59,99994,0.1929,15899.1,서울특별시 노원구
140,서울특별시,동대문구,904,99992,740,5205,0.1929,15899.1,서울특별시 동대문구
141,서울특별시,동작구,876,9202,1676,99994,0.1929,15899.1,서울특별시 동작구
142,서울특별시,마포구,1222,7405,849,99994,0.1929,15899.1,서울특별시 마포구
143,서울특별시,서대문구,870,7252,401,3230,0.1929,15899.1,서울특별시 서대문구
144,서울특별시,서초구,8344,11405,34,99994,0.1929,15899.1,서울특별시 서초구
145,서울특별시,성동구,1313,223,898,99994,0.1929,15899.1,서울특별시 성동구
146,서울특별시,성북구,1682,10000,1040,99994,0.1929,15899.1,서울특별시 성북구
147,서울특별시,송파구,1245,5578,881,99994,0.1929,15899.1,서울특별시 송파구
148,서울특별시,양천구,1135,7468,677,4836,0.1929,15899.1,서울특별시 양천구
149,서울특별시,영등포구,4307,9052,1185,9615,0.1929,15899.1,서울특별시 영등포구
150,서울특별시,용산구,809,9925,590,3605,0.1929,15899.1,서울특별시 용산구
151,서울특별시,은평구,2804,99992,1067,99994,0.1929,15899.1,서울특별시 은평구
152,서울특별시,종로구,777,8723,108,99994,0.1929,15899.1,서울특별시 종로구
153,서울특별시,중구,969,6189,632,99994,0.1929,15899.1,서울특별시 중구
154,서울특별시,중랑구,1805,9117,1777,6419,0.1929,15899.1,서울특별시 중랑구
155,서울특별시,도봉구,99991,6344,1,627,0.1929,15899.1,서울특별시 도봉구
156,세종특별자치시,가람동,5,99992,99993,99994,0.0041,708.64,세종특별자치시 가람동
157,세종특별자치시,고운동,92,99992,1,178,0.0041,708.64,세종특별자치시 고운동
158,세종특별자치시,공주시,2,99992,99993,99994,0.0041,708.64,세종특별자치시 공주시
159,세종특별자치시,금남면,119,1380,2,2598,0.0041,708.64,세종특별자치시 금남면
160,세종특별자치시,나성동,38,99992,99993,99994,0.0041,708.64,세종특별자치시 나성동
161,세종특별자치시,다정동,26,99992,99993,99994,0.0041,708.64,세종특별자치시 다정동
162,세종특별자치시,대평동,37,99992,2,99994,0.0041,708.64,세종특별자치시 대평동
164,세종특별자치시,도담동,40,99992,99993,160,0.0041,708.64,세종특별자치시 도담동
165,세종특별자치시,반곡동,44,99992,99993,99994,0.0041,708.64,세종특별자치시 반곡동
166,세종특별자치시,보람동,41,99992,99993,242,0.0041,708.64,세종특별자치시 보람동
169,세종특별자치시,부강면,54,603,99993,924,0.0041,708.64,세종특별자치시 부강면
170,세종특별자치시,새롬동,31,99992,99993,161,0.0041,708.64,세종특별자치시 새롬동
171,세종특별자치시,소담동,32,99992,99993,99994,0.0041,708.64,세종특별자치시 소담동
172,세종특별자치시,소정면,27,411,99993,548,0.0041,708.64,세종특별자치시 소정면
173,세종특별자치시,아름동,31,99992,4,74,0.0041,708.64,세종특별자치시 아름동
174,세종특별자치시,어진동,82,99992,1,99994,0.0041,708.64,세종특별자치시 어진동
175,세종특별자치시,연기면,69,398,4,1461,0.0041,708.64,세종특별자치시 연기면
176,세종특별자치시,연동면,30,569,99993,942,0.0041,708.64,세종특별자치시 연동면
177,세종특별자치시,연서면,43,805,1,1815,0.0041,708.64,세종특별자치시 연서면
178,세종특별자치시,장군면,42,933,99993,1771,0.0041,708.64,세종특별자치시 장군면
179,세종특별자치시,전동면,27,821,1,1919,0.0041,708.64,세종특별자치시 전동면
180,세종특별자치시,전의면,46,909,2,2077,0.0041,708.64,세종특별자치시 전의면
181,세종특별자치시,조치원읍,203,1200,5,455,0.0041,708.64,세종특별자치시 조치원읍
182,세종특별자치시,종촌동,19,99992,99993,38,0.0041,708.64,세종특별자치시 종촌동
183,세종특별자치시,한솔동,40,99992,99993,95,0.0041,708.64,세종특별자치시 한솔동
184,울산광역시,남구,3467,6314,807,99994,0.0136,1074.94,울산광역시 남구
185,울산광역시,동구,1376,2504,454,99994,0.0136,1074.94,울산광역시 동구
186,울산광역시,북구,762,4413,484,99994,0.0136,1074.94,울산광역시 북구
187,울산광역시,울주군,731,14157,466,99994,0.0136,1074.94,울산광역시 울주군
188,울산광역시,중구,730,5082,730,99994,0.0136,1074.94,울산광역시 중구
189,울산광역시,노원구,99991,99992,1,99994,0.0136,1074.94,울산광역시 노원구
190,인천광역시,강화군,743,9978,296,99994,0.0587,2765.6400000000003,인천광역시 강화군
191,인천광역시,계양구,1377,3378,554,99994,0.0587,2765.6400000000003,인천광역시 계양구
192,인천광역시,남동구,1147,6726,83,17820,0.0587,2765.6400000000003,인천광역시 남동구
193,인천광역시,동구,614,3057,289,99994,0.0587,2765.6400000000003,인천광역시 동구
194,인천광역시,미추홀구,1812,9052,194,4407,0.0587,2765.6400000000003,인천광역시 미추홀구
195,인천광역시,부평구,946,7290,952,99994,0.0587,2765.6400000000003,인천광역시 부평구
196,인천광역시,서구,1382,5117,997,22540,0.0587,2765.6400000000003,인천광역시 서구
197,인천광역시,연수구,688,1895,119,99994,0.0587,2765.6400000000003,인천광역시 연수구
198,인천광역시,옹진군,130,99992,11,2055,0.0587,2765.6400000000003,인천광역시 옹진군
199,인천광역시,중구,658,2572,523,3230,0.0587,2765.6400000000003,인천광역시 중구
200,인천광역시,남구,99991,99992,3,99994,0.0587,2765.6400000000003,인천광역시 남구
201,전라남도,강진군,10,4446,10,99994,0.0343,144.78000000000003,전라남도 강진군
202,전라남도,고흥군,815,99992,55,99994,0.0343,144.78000000000003,전라남도 고흥군
203,전라남도,곡성군,535,5334,23,3230,0.0343,144.78000000000003,전라남도 곡성군
204,전라남도,광양시,149,2069,93,99994,0.0343,144.78000000000003,전라남도 광양시
205,전라남도,구례군,406,4028,42,99994,0.0343,144.78000000000003,전라남도 구례군
206,전라남도,나주시,1,14326,99993,99994,0.0343,144.78000000000003,전라남도 나주시
207,전라남도,담양군,167,6815,8,99994,0.0343,144.78000000000003,전라남도 담양군
208,전라남도,목포시,628,9301,56,99994,0.0343,144.78000000000003,전라남도 목포시
209,전라남도,보성군,1076,99992,49,99994,0.0343,144.78000000000003,전라남도 보성군
210,전라남도,순천시,3137,9998,291,10725,0.0343,144.78000000000003,전라남도 순천시
211,전라남도,여수시,995,20630,139,99994,0.0343,144.78000000000003,전라남도 여수시
212,전라남도,영광군,390,10293,46,99994,0.0343,144.78000000000003,전라남도 영광군
213,전라남도,영암군,241,8190,14,99994,0.0343,144.78000000000003,전라남도 영암군
214,전라남도,완도군,334,6816,99993,99994,0.0343,144.78000000000003,전라남도 완도군
215,전라남도,장성군,550,5258,64,99994,0.0343,144.78000000000003,전라남도 장성군
216,전라남도,장흥군,831,7024,6,99994,0.0343,144.78000000000003,전라남도 장흥군
217,전라남도,진도군,968,7243,14,99994,0.0343,144.78000000000003,전라남도 진도군
218,전라남도,함평군,490,6450,35,99994,0.0343,144.78000000000003,전라남도 함평군
219,전라남도,해남군,75,9087,15,1993,0.0343,144.78000000000003,전라남도 해남군
220,전라남도,화순군,360,12491,32,99994,0.0343,144.78000000000003,전라남도 화순군
221,전라남도,무안군,99991,6715,99993,99994,0.0343,144.78000000000003,전라남도 무안군
222,전라남도,신안군,99991,8233,99993,99994,0.0343,144.78000000000003,전라남도 신안군
223,전라남도,용산면,99991,1,99993,99994,0.0343,144.78000000000003,전라남도 용산면
224,전라남도,장흥읍,99991,1,99993,99994,0.0343,144.78000000000003,전라남도 장흥읍
225,전라북도,고창군,409,2130,132,99994,0.0324,224.08,전라북도 고창군
226,전라북도,군산시,2096,17676,69,16668,0.0324,224.08,전라북도 군산시
227,전라북도,남원시,1,297,9,99994,0.0324,224.08,전라북도 남원시
228,전라북도,무주군,858,3530,42,99994,0.0324,224.08,전라북도 무주군
229,전라북도,부안군,307,8972,23,99994,0.0324,224.08,전라북도 부안군
230,전라북도,순찬군,2,99992,99993,99994,0.0324,224.08,전라북도 순찬군
231,전라북도,순창군,247,6551,47,99994,0.0324,224.08,전라북도 순창군
232,전라북도,완주군,421,12727,157,99994,0.0324,224.08,전라북도 완주군
233,전라북도,익산시,904,18203,18,99994,0.0324,224.08,전라북도 익산시
234,전라북도,임실군,478,4671,38,99994,0.0324,224.08,전라북도 임실군
235,전라북도,장수군,335,2597,23,99994,0.0324,224.08,전라북도 장수군
236,전라북도,전주시,1604,20920,147,99994,0.0324,224.08,전라북도 전주시
237,전라북도,정읍시,454,12747,63,99994,0.0324,224.08,전라북도 정읍시
238,전라북도,진안군,578,6066,56,99994,0.0324,224.08,전라북도 진안군
239,전라북도,공음면,99991,1,99993,99994,0.0324,224.08,전라북도 공음면
240,전라북도,김제시,99991,12875,99993,99994,0.0324,224.08,전라북도 김제시
241,전라북도,순창시,99991,99992,3,99994,0.0324,224.08,전라북도 순창시
242,전라북도,함양군,99991,99992,1,99994,0.0324,224.08,전라북도 함양군
243,제주특별자치도,서귀포시,228,7247,71,29567,0.0189,357.7,제주특별자치도 서귀포시
244,제주특별자치도,제주시,932,26295,99993,43465,0.0189,357.7,제주특별자치도 제주시
245,충청남도,공주시,1503,4313,76,9,0.0368,264.24,충청남도 공주시
246,충청남도,금산군,608,8764,28,99994,0.0368,264.24,충청남도 금산군
247,충청남도,논산시,1196,14236,144,99994,0.0368,264.24,충청남도 논산시
248,충청남도,당진시,2392,9794,51,34,0.0368,264.24,충청남도 당진시
249,충청남도,보령시,756,11057,37,44,0.0368,264.24,충청남도 보령시
250,충청남도,부여군,497,11640,99993,10,0.0368,264.24,충청남도 부여군
251,충청남도,서산시,1080,13079,728,100,0.0368,264.24,충청남도 서산시
252,충청남도,서천군,873,11319,77,99994,0.0368,264.24,충청남도 서천군
253,충청남도,아산시,3125,24098,1,47,0.0368,264.24,충청남도 아산시
254,충청남도,예산군,482,4302,40,99994,0.0368,264.24,충청남도 예산군
255,충청남도,천안시,5930,19706,1671,99994,0.0368,264.24,충청남도 천안시
256,충청남도,청양군,375,6735,62,99994,0.0368,264.24,충청남도 청양군
257,충청남도,태안군,3651,1740,37,99994,0.0368,264.24,충청남도 태안군
258,충청남도,평택시,13,99992,99993,99994,0.0368,264.24,충청남도 평택시
259,충청남도,홍성군,653,9460,104,100,0.0368,264.24,충청남도 홍성군
260,충청남도,계룡시,99991,1059,99993,99994,0.0368,264.24,충청남도 계룡시
261,충청남도,운산면,99991,1,99993,99994,0.0368,264.24,충청남도 운산면
262,충청남도,보은군,99991,99992,1,99994,0.0368,264.24,충청남도 보은군
263,충청남도,연기군,99991,99992,1,99994,0.0368,264.24,충청남도 연기군
264,충청남도,완주군,99991,99992,1,99994,0.0368,264.24,충청남도 완주군
265,충청북도,괴산군,640,3,99993,99994,0.0299,219.2,충청북도 괴산군
266,충청북도,단양군,287,1499,21,99994,0.0299,219.2,충청북도 단양군
267,충청북도,보은군,316,6349,99,99994,0.0299,219.2,충청북도 보은군
268,충청북도,영동군,1,6076,99993,99994,0.0299,219.2,충청북도 영동군
269,충청북도,옥천군,333,9941,112,99994,0.0299,219.2,충청북도 옥천군
270,충청북도,음성군,4500,21397,353,99994,0.0299,219.2,충청북도 음성군
271,충청북도,제천시,979,9024,314,99994,0.0299,219.2,충청북도 제천시
272,충청북도,증평군,910,3869,8,99994,0.0299,219.2,충청북도 증평군
273,충청북도,진천군,692,2,99993,121,0.0299,219.2,충청북도 진천군
274,충청북도,청주시,9,25432,99993,99994,0.0299,219.2,충청북도 청주시
275,충청북도,충주시,1578,10600,219,99994,0.0299,219.2,충청북도 충주시
276,충청북도,청원군,99991,99992,1,99994,0.0299,219.2,충청북도 청원군
